Telstra ID,Ticket Type,Cycle Status,Service,Assignment Group,Reporting Region,Priority,CEC,Open Date Time,Assignee,Resolved/Closed Date,Category,Status,Parent ID,Site Name,Update Time,Known Error
Serv-0024,Service Request,Opened,Video,PROCESS MOBILES SERVCES,South West,4,5AD,17/2/2022,Jane Doe,1/9/2022 12:29,Service Request,Closed,,Site Name 33,01/09/2022 12:29,
Serv-0027,Service Request,Opened,Voice,PROCESS VIDEO SERVICES,North East,4,5AD,18/2/2022,Jane.Doe@domain.com,,Service Request,Open,,,25/02/2022 00:00,
Serv-0029,Service Request,Opened,Mobile,PROCESS MOBILES SERVCES,North East,2,ZX22,19/2/2022,Jane Doe,2/9/2022 17:17,Service Request,Closed,,,02/09/2022 17:17,
Serv-0032,Service Request,Opened,Video,PROCESS MOBILES SERVCES,South West,3,JD29,20/2/2022,,3/9/2022 11:17,Service Request,Closed,,,03/09/2022 11:17,
Serv-0034,Service Request,Opened,Voice,PROCESS VOICE SERVICES,South West,2,9GF,22/2/2022,,,Service Request,Open,,0,23/02/2022 00:00,
Serv-0238,Service Request,Opened,Mobile,PROCESS MOBILES SERVCES,North East,,ZX2,16/4/2022,John Doe,,Service Request,Open,,0,23/04/2022 00:00,
Serv-0241,Service Request,Opened,Video,PROCESS VOICE SERVICES,South West,,ZX2,18/4/2022,Jane.Doe@domain.com,17/9/2022 12:29,Service Request,Closed,,Site Name 34,17/09/2022 12:29,
Serv-0244,Service Request,Opened,Voice,PROCESS VOICE SERVICES,North East,2,JD29,20/4/2022,Jane Doe,18/9/2022 17:17,Service Request,Closed,,Site Name 35,18/09/2022 17:17,
Serv-0247,Service Request,Opened,Mobile,PROCESS VIDEO SERVICES,South West,3,5AD,23/4/2022,John.Doe@domain.com,,Service Request,Open,,Site Name 36,29/04/2022 00:00,
Serv-0250,Service Request,Opened,Video,PROCESS MOBILES SERVCES,North East,2,ZX2,25/4/2022,Jane Doe,20/9/2022 11:17,Service Request,Closed,,Site Name 35,20/09/2022 11:17,
Serv-0253,Service Request,Opened,Voice,PROCESS VIDEO SERVICES,South West,4,JD29,27/4/2022,Jane.Doe@domain.com,,Service Request,Open,,Site Name 34,14/05/2022 00:00,
Serv-0256,Service Request,Opened,Mobile,PROCESS VIDEO SERVICES,North East,4,ZX2,29/4/2022,Jane Doe,20/9/2022 12:29,Service Request,Closed,,,20/09/2022 12:29,
Serv-0259,Service Request,Opened,Video,PROCESS MOBILES SERVCES,South West,2,9GF,2/5/2022,Jane.Doe@domain.com,21/9/2022 17:17,Service Request,Closed,,,21/09/2022 17:17,
Serv-0262,Service Request,Opened,Voice,PROCESS VOICE SERVICES,North East,2,JD30,4/5/2022,Jane Doe,,Service Request,Open,,,24/05/2022 00:00,
PRB-0119,Problem,Opened,Mobile,PROCESS MOBILES SERVCES,North East,3,ZX23,1/1/2022,,,Problem,Open,,0,05/01/2022 00:00,0
PRB-0122,Problem,Opened,Video,PROCESS MOBILES SERVCES,South West,4,5AD,2/1/2022,,20/8/2022 17:17,Problem,Closed,,0,20/08/2022 17:17,0
PRB-0124,Problem,Opened,Voice,PROCESS MOBILES SERVCES,South West,3,5AD,3/1/2022,Jane.Doe@domain.com,20/8/2022 12:29,Problem,Closed,,Site Name 35,20/08/2022 12:29,0
PRB-0127,Problem,Opened,Mobile,PROCESS VIDEO SERVICES,North East,,ZX23,4/1/2022,Jane Doe,,Problem,Open,,Site Name 36,08/01/2022 00:00,0
PRB-0129,Problem,Opened,Video,PROCESS MOBILES SERVCES,North East,,JD30,5/1/2022,Jane.Doe@domain.com,21/8/2022 17:17,Problem,Closed,,Site Name 37,21/08/2022 17:17,0
PRB-0132,Problem,Opened,Voice,PROCESS MOBILES SERVCES,South West,3,9GF,6/1/2022,Jane Doe,22/8/2022 11:17,Problem,Closed,,Site Name 36,22/08/2022 11:17,0
PRB-0134,Problem,Opened,Mobile,PROCESS VOICE SERVICES,South West,4,ZX2,8/1/2022,,,Problem,Open,,Site Name 35,24/01/2022 00:00,TRUE
CH-0002,Ch - Normal,Closed,Video,PROCESS MOBILES SERVCES,Eastern,3,ZX2,24/2/2022,,,Change,Open,,,09/03/2022 00:00,
CH-0005,Ch - Task,Closed,Voice,PROCESS VOICE SERVICES,South East,2,JD30,24/2/2022,John Doe,4/9/2022 17:17,Change,Closed,,,04/09/2022 17:17,
CH-0007,Ch - Emergency,Closed,Mobile,PROCESS VOICE SERVICES,South East,2,5AD,26/2/2022,Jane.Doe@domain.com,3/9/2022 12:29,Change,Closed,,,03/09/2022 12:29,
CH-0010,Ch - Normal,Closed,Video,PROCESS VIDEO SERVICES,Eastern,3,ZX2,27/2/2022,Jane Doe,,Change,Open,,0,20/03/2022 00:00,
CH-0012,Ch - Service Request,Closed,Voice,PROCESS MOBILES SERVCES,Eastern,3,JD30,28/2/2022,John.Doe@domain.com,5/9/2022 17:17,Change,Closed,,0,05/09/2022 17:17,
CH-0015,Ch - Emergency,Closed,Mobile,PROCESS VIDEO SERVICES,South East,4,ZX2,1/3/2022,Jane Doe,5/9/2022 0:29,Change,Closed,,Site Name 36,05/09/2022 00:29,
CH-0017,Ch - Task,Closed,Video,PROCESS VIDEO SERVICES,South East,2,9GF,2/3/2022,Jane.Doe@domain.com,,Change,Open,,Site Name 37,24/03/2022 00:00,
CH-0020,Ch - Service Request,Closed,Voice,PROCESS MOBILES SERVCES,Eastern,4,JD31,3/3/2022,Jane Doe,,Change,Open,,Site Name 38,24/03/2022 00:00,
CH-0022,Ch - Normal,Closed,Mobile,PROCESS VOICE SERVICES,Eastern,,ZX24,5/3/2022,Jane.Doe@domain.com,6/9/2022 0:29,Change,Closed,,Site Name 37,06/09/2022 00:29,
CH-0025,Ch - Task,Closed,Video,PROCESS MOBILES SERVCES,South East,,5AD,5/3/2022,Jane Doe,5/9/2022 12:29,Change,Closed,,Site Name 36,05/09/2022 12:29,
CH-0027,Ch - Emergency,Closed,Voice,PROCESS MOBILES SERVCES,South East,4,5AD,7/3/2022,,,Change,Open,,,08/03/2022 00:00,
CH-0030,Ch - Normal,Closed,Mobile,PROCESS MOBILES SERVCES,Eastern,2,ZX24,8/3/2022,,7/9/2022 17:17,Change,Closed,,,07/09/2022 17:17,
CH-0032,Ch - Service Request,Closed,Video,PROCESS VIDEO SERVICES,Eastern,4,JD31,9/3/2022,Jane.Doe@domain.com,6/9/2022 12:29,Change,Closed,,,06/09/2022 12:29,
CH-0035,Ch - Emergency,Closed,Voice,PROCESS MOBILES SERVCES,South East,3,9GF,10/3/2022,Jane Doe,,Change,Open,,0,20/03/2022 00:00,
CH-0037,Ch - Task,Closed,Mobile,PROCESS MOBILES SERVCES,South East,3,ZX2,11/3/2022,Jane.Doe@domain.com,8/9/2022 17:17,Change,Closed,,0,08/09/2022 17:17,
CH-0040,Ch - Service Request,Closed,Video,PROCESS VOICE SERVICES,Eastern,4,ZX2,12/3/2022,Jane Doe,8/9/2022 0:29,Change,Closed,,Site Name 37,08/09/2022 00:29,
CH-0042,Ch - Normal,Closed,Voice,PROCESS MOBILES SERVCES,Eastern,4,JD31,14/3/2022,,,Change,Open,,Site Name 38,26/03/2022 00:00,
CH-0045,Ch - Task,Closed,Mobile,PROCESS VOICE SERVICES,South East,2,5AD,14/3/2022,,,Change,Open,,Site Name 39,20/03/2022 00:00,
CH-0047,Ch - Emergency,Closed,Video,PROCESS VOICE SERVICES,South East,3,ZX2,16/3/2022,John Doe,9/9/2022 0:29,Change,Closed,,Site Name 38,09/09/2022 00:29,
CH-0050,Ch - Normal,Closed,Voice,PROCESS VIDEO SERVICES,Eastern,2,JD31,17/3/2022,Jane.Doe@domain.com,8/9/2022 12:29,Change,Closed,,Site Name 37,08/09/2022 12:29,
CH-0052,Ch - Service Request,Closed,Mobile,PROCESS MOBILES SERVCES,Eastern,,ZX2,18/3/2022,Jane Doe,,Change,Open,,,26/03/2022 00:00,
CH-0055,Ch - Emergency,Closed,Video,PROCESS VIDEO SERVICES,South East,,9GF,19/3/2022,John.Doe@domain.com,10/9/2022 17:17,Change,Closed,,,10/09/2022 17:17,
CH-0057,Ch - Task,Closed,Voice,PROCESS VIDEO SERVICES,South East,2,JD32,20/3/2022,Jane Doe,9/9/2022 12:29,Change,Closed,,,09/09/2022 12:29,
CH-0060,Ch - Service Request,Closed,Mobile,PROCESS MOBILES SERVCES,Eastern,3,ZX25,21/3/2022,Jane.Doe@domain.com,,Change,Open,,0,05/04/2022 00:00,
CH-0062,Ch - Normal,Closed,Video,PROCESS VOICE SERVICES,Eastern,2,5AD,23/3/2022,Jane Doe,11/9/2022 17:17,Change,Closed,,0,11/09/2022 17:17,
CH-0065,Ch - Task,Closed,Voice,PROCESS MOBILES SERVCES,South East,4,5AD,23/3/2022,Jane.Doe@domain.com,11/9/2022 0:29,Change,Closed,,Site Name 38,11/09/2022 00:29,
CH-0067,Ch - Emergency,Closed,Mobile,PROCESS MOBILES SERVCES,South East,4,ZX25,25/3/2022,Jane Doe,,Change,Open,,Site Name 39,10/04/2022 00:00,
CH-0070,Ch - Normal,Closed,Video,PROCESS MOBILES SERVCES,Eastern,2,JD32,26/3/2022,,,Change,Open,,Site Name 40,10/04/2022 00:00,
CH-0072,Ch - Service Request,Closed,Voice,PROCESS VIDEO SERVICES,Eastern,2,9GF,27/3/2022,,12/9/2022 0:29,Change,Closed,,Site Name 39,12/09/2022 00:29,
CH-0075,Ch - Emergency,Closed,Mobile,PROCESS MOBILES SERVCES,South East,3,ZX2,28/3/2022,Jane.Doe@domain.com,11/9/2022 12:29,Change,Closed,,Site Name 38,11/09/2022 12:29,
CH-0077,Ch - Task,Closed,Video,PROCESS MOBILES SERVCES,South East,4,ZX2,29/3/2022,Jane Doe,,Change,Open,,,18/04/2022 00:00,
CH-0080,Ch - Service Request,Closed,Voice,PROCESS VOICE SERVICES,Eastern,3,JD32,30/3/2022,Jane.Doe@domain.com,13/9/2022 17:17,Change,Closed,,,13/09/2022 17:17,
CH-0082,Ch - Normal,Closed,Mobile,PROCESS MOBILES SERVCES,Eastern,,5AD,1/4/2022,Jane Doe,12/9/2022 12:29,Change,Closed,,,12/09/2022 12:29,
CH-0085,Ch - Task,Closed,Video,PROCESS VOICE SERVICES,South East,,ZX2,1/4/2022,,,Change,Open,,0,09/04/2022 00:00,
CH-0087,Ch - Emergency,Closed,Voice,PROCESS VOICE SERVICES,South East,3,JD32,3/4/2022,,14/9/2022 17:17,Change,Closed,,0,14/09/2022 17:17,
CH-0090,Ch - Normal,Closed,Mobile,PROCESS VIDEO SERVICES,Eastern,4,ZX2,4/4/2022,John Doe,14/9/2022 0:29,Change,Closed,,Site Name 39,14/09/2022 00:29,
CH-0092,Ch - Service Request,Closed,Video,PROCESS MOBILES SERVCES,Eastern,3,9GF,5/4/2022,Jane.Doe@domain.com,,Change,Open,,Site Name 40,14/04/2022 00:00,
CH-0095,Ch - Emergency,Closed,Voice,PROCESS VIDEO SERVICES,South East,2,JD33,6/4/2022,Jane Doe,,Change,Open,,Site Name 41,16/04/2022 00:00,
CH-0097,Ch - Task,Closed,Mobile,PROCESS VIDEO SERVICES,South East,2,ZX26,7/4/2022,John.Doe@domain.com,15/9/2022 0:29,Change,Closed,,Site Name 40,15/09/2022 00:29,
CH-0100,Ch - Service Request,Closed,Video,PROCESS MOBILES SERVCES,Eastern,3,5AD,8/4/2022,Jane Doe,14/9/2022 12:29,Change,Closed,,Site Name 39,14/09/2022 12:29,
CH-0103,Ch - Emergency,Closed,Voice,PROCESS VOICE SERVICES,Eastern,3,5AD,10/4/2022,Jane.Doe@domain.com,,Change,Open,,,13/04/2022 00:00,
CH-0109,Ch - Task,Closed,Mobile,PROCESS MOBILES SERVCES,South East,4,ZX26,10/4/2022,Jane Doe,16/9/2022 17:17,Change,Closed,,,16/09/2022 17:17,
CH-0113,Ch - Task,Closed,Video,PROCESS MOBILES SERVCES,South East,2,JD33,12/4/2022,Jane.Doe@domain.com,15/9/2022 12:29,Change,Closed,,,15/09/2022 12:29,
CH-0119,Ch - Emergency,Closed,Voice,PROCESS MOBILES SERVCES,Eastern,4,9GF,13/4/2022,Jane Doe,,Change,Open,,0,04/05/2022 00:00,
CH-0123,Ch - Emergency,Closed,Mobile,PROCESS VIDEO SERVICES,Eastern,,ZX2,14/4/2022,,17/9/2022 17:17,Change,Closed,,0,17/09/2022 17:17,
CH-0129,Ch - Task,Closed,Video,PROCESS MOBILES SERVCES,South East,,ZX2,15/4/2022,,17/9/2022 0:29,Change,Closed,,Site Name 40,17/09/2022 00:29,
CH-0133,Ch - Task,Closed,Voice,PROCESS MOBILES SERVCES,South East,4,JD33,16/4/2022,Jane.Doe@domain.com,,Change,Open,,Site Name 41,07/05/2022 00:00,
CH-0139,Ch - Emergency,Closed,Mobile,PROCESS VOICE SERVICES,Eastern,2,5AD,17/4/2022,Jane Doe,,Change,Open,,Site Name 42,02/05/2022 00:00,
CH-0143,Ch - Emergency,Closed,Video,PROCESS MOBILES SERVCES,Eastern,4,ZX2,19/4/2022,Jane.Doe@domain.com,18/9/2022 0:29,Change,Closed,,Site Name 41,18/09/2022 00:29,
CH-0149,Ch - Task,Closed,Voice,PROCESS VOICE SERVICES,South East,3,JD33,19/4/2022,Jane Doe,17/9/2022 12:29,Change,Closed,,Site Name 40,17/09/2022 12:29,
CH-0153,Ch - Task,Closed,Mobile,PROCESS VOICE SERVICES,South East,3,ZX2,21/4/2022,,,Change,Open,,,06/05/2022 00:00,
CH-0159,Ch - Emergency,Closed,Video,PROCESS VIDEO SERVICES,Eastern,4,9GF,22/4/2022,,19/9/2022 17:17,Change,Closed,,,19/09/2022 17:17,
CH-0163,Ch - Emergency,Closed,Voice,PROCESS MOBILES SERVCES,Eastern,4,JD34,23/4/2022,John Doe,18/9/2022 12:29,Change,Closed,,,18/09/2022 12:29,
CH-0169,Ch - Task,Closed,Mobile,PROCESS VIDEO SERVICES,South East,2,ZX27,24/4/2022,Jane.Doe@domain.com,,Change,Open,,0,03/05/2022 00:00,
CH-0173,Ch - Task,Closed,Video,PROCESS VIDEO SERVICES,South East,3,5AD,25/4/2022,Jane Doe,20/9/2022 17:17,Change,Closed,,0,20/09/2022 17:17,
CH-0179,Ch - Emergency,Closed,Voice,PROCESS MOBILES SERVCES,Eastern,2,5AD,26/4/2022,John.Doe@domain.com,20/9/2022 0:29,Change,Closed,,Site Name 41,20/09/2022 00:29,
CH-0183,Ch - Emergency,Closed,Mobile,PROCESS VOICE SERVICES,Eastern,,ZX27,28/4/2022,Jane Doe,,Change,Open,,Site Name 42,03/05/2022 00:00,
CH-0189,Ch - Task,Closed,Video,PROCESS MOBILES SERVCES,South East,,JD34,28/4/2022,Jane.Doe@domain.com,,Change,Open,,Site Name 43,01/05/2022 00:00,
CH-0193,Ch - Task,Closed,Voice,PROCESS MOBILES SERVCES,South East,2,9GF,30/4/2022,Jane Doe,21/9/2022 0:29,Change,Closed,,Site Name 42,21/09/2022 00:29,
CH-0199,Ch - Emergency,Closed,Mobile,PROCESS MOBILES SERVCES,Eastern,3,ZX2,1/5/2022,Jane.Doe@domain.com,20/9/2022 12:29,Change,Closed,,Site Name 41,20/09/2022 12:29,
CH-0203,Ch - Emergency,Closed,Video,PROCESS VIDEO SERVICES,Eastern,2,ZX2,2/5/2022,Jane Doe,,Change,Open,,,25/05/2022 00:00,
CH-0209,Ch - Task,Closed,Voice,PROCESS MOBILES SERVCES,South East,4,JD34,3/5/2022,,22/9/2022 17:17,Change,Closed,,,22/09/2022 17:17,
CH-0213,Ch - Task,Closed,Mobile,PROCESS MOBILES SERVCES,South East,4,5AD,4/5/2022,,21/9/2022 12:29,Change,Closed,,,21/09/2022 12:29,
CH-0219,Ch - Emergency,Closed,Video,PROCESS VOICE SERVICES,Eastern,2,ZX2,5/5/2022,Jane.Doe@domain.com,,Change,Open,,0,11/05/2022 00:00,
CH-0225,Ch - Task,Closed,Voice,PROCESS MOBILES SERVCES,Eastern,2,JD34,2/1/2022,Jane Doe,,Change,Open,,0,22/01/2022 00:00,
CH-0231,Ch - Emergency,Closed,Mobile,PROCESS VOICE SERVICES,South East,3,ZX2,4/1/2022,Jane.Doe@domain.com,20/8/2022 12:29,Change,Closed,,Site Name 42,20/08/2022 12:29,
CH-0237,Ch - Task,Closed,Video,PROCESS VOICE SERVICES,Eastern,4,9GF,7/1/2022,Jane Doe,22/8/2022 17:17,Change,Closed,,Site Name 43,22/08/2022 17:17,
CH-0243,Ch - Emergency,Closed,Voice,PROCESS VIDEO SERVICES,South East,3,JD35,9/1/2022,,,Change,Open,,Site Name 44,12/01/2022 00:00,
CH-0249,Ch - Task,Closed,Mobile,PROCESS MOBILES SERVCES,Eastern,,ZX28,11/1/2022,,23/8/2022 0:29,Change,Closed,,Site Name 43,23/08/2022 00:29,
CH-0255,Ch - Emergency,Closed,Video,PROCESS VIDEO SERVICES,South East,,5AD,13/1/2022,John Doe,,Change,Open,,Site Name 42,30/01/2022 00:00,
CH-0261,Ch - Task,Closed,Voice,PROCESS VIDEO SERVICES,Eastern,3,5AD,16/1/2022,Jane.Doe@domain.com,23/8/2022 12:29,Change,Closed,,,23/08/2022 12:29,
CH-0267,Ch - Emergency,Closed,Mobile,PROCESS MOBILES SERVCES,South East,4,ZX28,18/1/2022,Jane Doe,25/8/2022 17:17,Change,Closed,,,25/08/2022 17:17,
CH-0273,Ch - Task,Closed,Video,PROCESS VOICE SERVICES,Eastern,3,JD35,20/1/2022,John.Doe@domain.com,,Change,Open,,,03/02/2022 00:00,
CH-0279,Ch - Emergency,Closed,Voice,PROCESS MOBILES SERVCES,South East,2,9GF,22/1/2022,Jane Doe,26/8/2022 0:29,Change,Closed,,0,26/08/2022 00:29,
CH-0285,Ch - Task,Closed,Mobile,PROCESS MOBILES SERVCES,Eastern,2,ZX2,25/1/2022,Jane.Doe@domain.com,,Change,Open,,0,30/01/2022 00:00,
CH-0291,Ch - Emergency,Closed,Video,PROCESS MOBILES SERVCES,South East,3,ZX2,27/1/2022,Jane Doe,26/8/2022 12:29,Change,Closed,,Site Name 43,26/08/2022 12:29,
CH-0297,Ch - Task,Closed,Voice,PROCESS VIDEO SERVICES,Eastern,3,JD35,29/1/2022,Jane.Doe@domain.com,28/8/2022 17:17,Change,Closed,,Site Name 44,28/08/2022 17:17,
CH-0303,Ch - Emergency,Closed,Mobile,PROCESS MOBILES SERVCES,South East,4,5AD,31/1/2022,Jane Doe,,Change,Open,,Site Name 45,22/02/2022 00:00,
CH-0309,Ch - Task,Closed,Video,PROCESS MOBILES SERVCES,Eastern,2,ZX2,3/2/2022,,29/8/2022 0:29,Change,Closed,,Site Name 44,29/08/2022 00:29,
CH-0315,Ch - Emergency,Closed,Voice,PROCESS VOICE SERVICES,South East,4,JD35,5/2/2022,,,Change,Open,,Site Name 43,09/02/2022 00:00,
CH-0321,Ch - Task,Closed,Mobile,PROCESS MOBILES SERVCES,Eastern,,ZX2,7/2/2022,Jane.Doe@domain.com,29/8/2022 12:29,Change,Closed,,,29/08/2022 12:29,
CH-0327,Ch - Emergency,Closed,Video,PROCESS VOICE SERVICES,South East,,9GF,9/2/2022,Jane Doe,31/8/2022 17:17,Change,Closed,,,31/08/2022 17:17,
CH-0333,Ch - Task,Closed,Voice,PROCESS VOICE SERVICES,Eastern,4,JD36,12/2/2022,Jane.Doe@domain.com,,Change,Open,,,14/02/2022 00:00,
CH-0339,Ch - Emergency,Closed,Mobile,PROCESS VIDEO SERVICES,South East,2,ZX29,14/2/2022,Jane Doe,1/9/2022 0:29,Change,Closed,,0,01/09/2022 00:29,
CH-0345,Ch - Task,Closed,Video,PROCESS MOBILES SERVCES,Eastern,4,5AD,16/2/2022,,,Change,Open,,0,19/02/2022 00:00,
CH-0351,Ch - Emergency,Closed,Voice,PROCESS VIDEO SERVICES,South East,3,5AD,18/2/2022,,1/9/2022 12:29,Change,Closed,,Site Name 44,01/09/2022 12:29,
CH-0357,Ch - Task,Closed,Mobile,PROCESS VIDEO SERVICES,Eastern,3,ZX29,21/2/2022,John Doe,3/9/2022 17:17,Change,Closed,,Site Name 45,03/09/2022 17:17,
CH-0363,Ch - Emergency,Closed,Video,PROCESS MOBILES SERVCES,South East,4,JD36,23/2/2022,Jane.Doe@domain.com,,Change,Open,,Site Name 46,27/02/2022 00:00,
CH-0369,Ch - Task,Closed,Voice,PROCESS VOICE SERVICES,Eastern,4,9GF,25/2/2022,Jane Doe,4/9/2022 0:29,Change,Closed,,Site Name 45,04/09/2022 00:29,
CH-0375,Ch - Emergency,Closed,Mobile,PROCESS MOBILES SERVCES,South East,2,ZX2,27/2/2022,John.Doe@domain.com,,Change,Open,,Site Name 44,09/03/2022 00:00,
CH-0381,Ch - Task,Closed,Video,PROCESS MOBILES SERVCES,Eastern,3,ZX2,2/3/2022,Jane Doe,4/9/2022 12:29,Change,Closed,,,04/09/2022 12:29,
CH-0387,Ch - Emergency,Closed,Voice,PROCESS MOBILES SERVCES,South East,2,JD36,4/3/2022,Jane.Doe@domain.com,6/9/2022 17:17,Change,Closed,,,06/09/2022 17:17,
CH-0393,Ch - Task,Closed,Mobile,PROCESS VIDEO SERVICES,Eastern,,5AD,6/3/2022,Jane Doe,,Change,Open,,,17/03/2022 00:00,
CH-0399,Ch - Emergency,Closed,Video,PROCESS MOBILES SERVCES,South East,,ZX2,8/3/2022,Jane.Doe@domain.com,7/9/2022 0:29,Change,Closed,,0,07/09/2022 00:29,
CH-0405,Ch - Task,Closed,Voice,PROCESS MOBILES SERVCES,Eastern,2,JD36,11/3/2022,Jane Doe,,Change,Open,,0,22/03/2022 00:00,
CH-0411,Ch - Emergency,Closed,Mobile,PROCESS VOICE SERVICES,South East,3,ZX2,13/3/2022,,7/9/2022 12:29,Change,Closed,,Site Name 45,07/09/2022 12:29,
CH-0417,Ch - Task,Closed,Video,PROCESS MOBILES SERVCES,Eastern,2,9GF,15/3/2022,,9/9/2022 17:17,Change,Closed,,Site Name 46,09/09/2022 17:17,
CH-0423,Ch - Emergency,Closed,Voice,PROCESS VOICE SERVICES,South East,4,JD37,17/3/2022,Jane.Doe@domain.com,,Change,Open,,Site Name 47,06/04/2022 00:00,
CH-0429,Ch - Task,Closed,Mobile,PROCESS VOICE SERVICES,Eastern,4,ZX30,20/3/2022,Jane Doe,10/9/2022 0:29,Change,Closed,,Site Name 46,10/09/2022 00:29,
CH-0435,Ch - Emergency,Closed,Video,PROCESS VIDEO SERVICES,South East,2,5AD,22/3/2022,Jane.Doe@domain.com,,Change,Open,,Site Name 45,25/03/2022 00:00,
CH-0441,Ch - Task,Closed,Voice,PROCESS MOBILES SERVCES,Eastern,2,5AD,24/3/2022,Jane Doe,10/9/2022 12:29,Change,Closed,,,10/09/2022 12:29,
CH-0447,Ch - Emergency,Closed,Mobile,PROCESS VIDEO SERVICES,South East,3,ZX30,26/3/2022,,12/9/2022 17:17,Change,Closed,,,12/09/2022 17:17,
CH-0453,Ch - Task,Closed,Video,PROCESS VIDEO SERVICES,Eastern,4,JD37,29/3/2022,,,Change,Open,,,31/03/2022 00:00,
CH-0459,Ch - Emergency,Closed,Voice,PROCESS MOBILES SERVCES,South East,3,9GF,31/3/2022,John Doe,13/9/2022 0:29,Change,Closed,,0,13/09/2022 00:29,
CH-0465,Ch - Task,Closed,Mobile,PROCESS VOICE SERVICES,Eastern,,ZX2,2/4/2022,Jane.Doe@domain.com,,Change,Open,,0,20/04/2022 00:00,
CH-0471,Ch - Emergency,Closed,Video,PROCESS MOBILES SERVCES,South East,,ZX2,4/4/2022,Jane Doe,13/9/2022 12:29,Change,Closed,,Site Name 46,13/09/2022 12:29,
CH-0477,Ch - Task,Closed,Voice,PROCESS MOBILES SERVCES,Eastern,3,JD37,7/4/2022,John.Doe@domain.com,15/9/2022 17:17,Change,Closed,,Site Name 47,15/09/2022 17:17,
CH-0483,Ch - Emergency,Closed,Mobile,PROCESS MOBILES SERVCES,South East,4,5AD,9/4/2022,Jane Doe,,Change,Open,,Site Name 48,24/04/2022 00:00,
CH-0489,Ch - Task,Closed,Video,PROCESS VIDEO SERVICES,Eastern,3,ZX2,11/4/2022,Jane.Doe@domain.com,16/9/2022 0:29,Change,Closed,,Site Name 47,16/09/2022 00:29,
CH-0495,Ch - Emergency,Closed,Voice,PROCESS MOBILES SERVCES,South East,2,JD37,13/4/2022,Jane Doe,,Change,Open,,Site Name 46,30/04/2022 00:00,
INC-0238,Incident,Closed,Mobile,PROCESS MOBILES SERVCES,Eastern,2,ZX2,10/1/2022,Jane.Doe@domain.com,,Incident,Open,,,29/01/2022 00:00,
INC-0241,Incident,Closed,Video,PROCESS VOICE SERVICES,South East,3,9GF,10/1/2022,Jane Doe,23/8/2022 17:17,Incident,Closed,,,23/08/2022 17:17,
INC-0243,Incident,Closed,Voice,PROCESS MOBILES SERVCES,South East,3,JD38,12/1/2022,,22/8/2022 12:29,Incident,Closed,,,22/08/2022 12:29,
INC-0246,Incident,Closed,Mobile,PROCESS VOICE SERVICES,Eastern,4,ZX31,13/1/2022,,,Incident,Open,,0,26/01/2022 00:00,
INC-0248,Incident,Closed,Video,PROCESS VOICE SERVICES,Eastern,2,5AD,14/1/2022,Jane.Doe@domain.com,24/8/2022 17:17,Incident,Closed,,0,24/08/2022 17:17,
INC-0251,Incident,Closed,Voice,PROCESS VIDEO SERVICES,South East,4,5AD,15/1/2022,Jane Doe,24/8/2022 0:29,Incident,Closed,,Site Name 47,24/08/2022 00:29,
INC-0253,Incident,Closed,Mobile,PROCESS MOBILES SERVCES,South East,,ZX31,16/1/2022,Jane.Doe@domain.com,,Incident,Open,,Site Name 48,29/01/2022 00:00,
INC-0256,Incident,Closed,Video,PROCESS VIDEO SERVICES,Eastern,,JD38,17/1/2022,Jane Doe,,Incident,Open,,Site Name 49,04/02/2022 00:00,
INC-0258,Incident,Closed,Voice,PROCESS VIDEO SERVICES,Eastern,4,9GF,19/1/2022,,25/8/2022 0:29,Incident,Closed,,Site Name 48,25/08/2022 00:29,
INC-0261,Incident,Closed,Mobile,PROCESS MOBILES SERVCES,South East,2,ZX2,19/1/2022,,24/8/2022 12:29,Incident,Closed,,Site Name 47,24/08/2022 12:29,
INC-0263,Incident,Closed,Video,PROCESS VOICE SERVICES,South East,4,ZX2,21/1/2022,John Doe,,Incident,Open,,,08/02/2022 00:00,
INC-0266,Incident,Closed,Voice,PROCESS MOBILES SERVCES,Eastern,3,JD38,22/1/2022,Jane.Doe@domain.com,26/8/2022 17:17,Incident,Closed,,,26/08/2022 17:17,
INC-0268,Incident,Closed,Mobile,PROCESS MOBILES SERVCES,Eastern,3,5AD,23/1/2022,Jane Doe,25/8/2022 12:29,Incident,Closed,,,25/08/2022 12:29,
INC-0271,Incident,Closed,Video,PROCESS MOBILES SERVCES,South East,4,ZX2,24/1/2022,John.Doe@domain.com,,Incident,Open,,0,28/01/2022 00:00,
INC-0273,Incident,Closed,Voice,PROCESS VIDEO SERVICES,South East,4,JD38,25/1/2022,Jane Doe,27/8/2022 17:17,Incident,Closed,,0,27/08/2022 17:17,
INC-0276,Incident,Closed,Mobile,PROCESS MOBILES SERVCES,Eastern,2,ZX2,26/1/2022,Jane.Doe@domain.com,27/8/2022 0:29,Incident,Closed,,Site Name 48,27/08/2022 00:29,
INC-0278,Incident,Closed,Video,PROCESS MOBILES SERVCES,Eastern,3,9GF,28/1/2022,Jane Doe,,Incident,Open,,Site Name 49,06/02/2022 00:00,
INC-0281,Incident,Closed,Voice,PROCESS VOICE SERVICES,South East,2,JD39,28/1/2022,Jane.Doe@domain.com,,Incident,Open,,Site Name 50,07/02/2022 00:00,
INC-0283,Incident,Closed,Mobile,PROCESS MOBILES SERVCES,South East,,ZX32,30/1/2022,Jane Doe,28/8/2022 0:29,Incident,Closed,,Site Name 49,28/08/2022 00:29,
